Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.9303004,O=C1C[C@H](c2cccc3cccnc23)c2c(cc([O-])c3c(=O)cc(-c4ccc(O)c(O)c4)oc23)O1,0.4151,Inactive,Out-of-Domain
0.19043459,O=C([O-])CCCNC(=S)Nc1ccc2c(c1)C(=O)O[C@@]21c2ccc([O-])cc2Oc2cc(O)ccc21,0.4149,Inactive,Out-of-Domain
0.9963977,OCc1ccc2c(c1)OCCOCCOc1cc(CO)ccc1OCCOCCO2,0.4138,Inactive,In-Domain
0.07059375,O=C([O-])CCCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,0.4106,Inactive,Out-of-Domain
0.4085534,COc1cc(-c2nc(-c3cn(CC(=O)[O-])c4ccccc34)[nH]c2-c2oc(C)cc(=O)c2O)ccc1O,0.4093,Inactive,Out-of-Domain
0.9988908,Cc1cc(C[N@@H+]2CCC[C@@H](c3cc(=O)nc(N4CCOCC4)[nH]3)C2)cc(C)c1O,0.4069,Inactive,Out-of-Domain
0.9989907,CC1(C)CCc2c(cc(O)c3c2O[C@H](c2ccc(O)cc2)CC3=O)O1,0.405,Inactive,In-Domain
0.8232655,CCOC(=O)C1=c2s/c(=C/c3ccc([O-])cc3)c(=O)n2C(N)=C(C(=O)OC)[C@H]1c1ccc(O)cc1,0.4041,Inactive,In-Domain
0.1488396,COc1cc(C[C@@H](C)[C@H](C)Cc2ccc(O)c(OC)c2)ccc1O,0.4012,Inactive,In-Domain
0.0118422685,[O-]c1cc(O)cc(/N=N/c2ccc(O)cc2)c1,0.3997,Inactive,In-Domain
0.76712096,[O-]c1cc(O)cc(/N=N/c2ccc(O)cc2)c1,0.3997,Inactive,In-Domain
0.8441527,[O-]/N=C/c1cc[n+](CCCC[n+]2ccc(/C=N/O)cc2)cc1,0.398,Inactive,Out-of-Domain
0.09628371,[O-]/N=C/c1cc[n+](CCCC[n+]2ccc(/C=N/O)cc2)cc1,0.398,Inactive,Out-of-Domain
0.9087631,COc1ccc([C@@H](CC(=O)NCC(=O)[O-])NC(=O)Cc2c(C)c3ccc(O)cc3oc2=O)cc1OC,0.3971,Inactive,In-Domain
0.5071778,Oc1ccc2cc(-c3ccc(O)c(O)c3)ccc2c1,0.3968,Inactive,In-Domain
0.9883668,CC(=O)N[C@@H]1CC[C@H](C(=O)[O-])CN(C(=O)c2ccc(-c3ccc(O)cc3)cc2)C1,0.3966,Inactive,In-Domain
0.9854635,Oc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,0.3964,Inactive,In-Domain
0.97416276,Cc1cc(C[N@H+]2CCC[C@@H](c3cc(=O)nc(N4CCOCC4)[nH]3)C2)cc(C)c1O,0.3953,Inactive,Out-of-Domain
0.9870832,Cc1cc(C[N@H+]2CCC[C@H](c3cc(=O)nc(N4CCOCC4)[nH]3)C2)cc(C)c1O,0.3953,Inactive,Out-of-Domain
0.7757822,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@H](c1ccc(O)cc1O)O2,0.3921,Inactive,In-Domain
0.9669348,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0.3901,Inactive,In-Domain
0.6748789,O=C(/C=C/c1ccc([O-])c(O)c1)NCCc1ccc(O)c(O)c1,0.3874,Inactive,In-Domain
0.46908078,COc1ccc(C(=O)N[C@@H]2CO[C@H]3[C@@H]2OC[C@H]3O)cc1Oc1ccc(CN)cc1F,0.382,Inactive,Out-of-Domain
0.95426995,Cn1c(CO)nnc1[C@H]1C[C@@H](NC(=O)c2ccc3nc(CO)[nH]c3c2)C1,0.3811,Inactive,In-Domain
0.98886526,Oc1ccc([C@H]2Oc3c(Cc4ccccc4)c(O)cc(O)c3C[C@@H]2O)cc1O,0.3783,Inactive,In-Domain
0.29479292,Cc1nc2c(C(=O)Nc3ccc([N@@H+]4CCC[C@@H](O)C4)cc3)snc2c(=O)[nH]1,0.3756,Inactive,Out-of-Domain
0.6014625,COC(=O)c1c(C)c2c(c(C)c1O)OC(=O)c1c(C)c(Cl)c([O-])c(Cl)c1O2,0.3739,Inactive,Out-of-Domain
0.9512681,Cc1c(CC(=O)[O-])c(=O)oc2cc(OCc3ccc(C(=O)[O-])cc3)ccc12,0.3727,Inactive,In-Domain
0.9246333,O=C(/C=C/c1ccc([O-])c(O)c1)NCCc1ccc(O)c(O)c1,0.3723,Inactive,In-Domain
0.50231946,O=Cc1ccc(-c2cc(-c3ccc(C=O)c(O)c3)cc(-c3ccc(C=O)c(O)c3)c2)cc1O,0.369,Inactive,In-Domain
0.019186378,O=C1CS/C(=N\c2ccc(O)cc2)N1c1ccc(O)cc1,0.3665,Inactive,In-Domain
0.9875029,COc1c(-c2cc(O)c(O)c(CC=C(C)C)c2)oc2cc([O-])cc(O)c2c1=O,0.3626,Inactive,In-Domain
0.9752764,O=C([O-])COc1ccccc1[C@H]1CC(=O)Oc2cc([O-])c3c(=O)cc(-c4ccc(O)cc4)oc3c21,0.3599,Inactive,In-Domain
0.75580424,O=C([O-])C[C@@H](C(=O)[O-])c1ccc(OCCCCOc2ccc([C@@H](CC(=O)[O-])C(=O)[O-])cc2)cc1,0.3582,Inactive,Out-of-Domain
0.9754675,COc1cc(-c2[nH]c(-c3ccc(O)cc3)nc2-c2oc(C)cc(=O)c2[O-])ccc1O,0.3565,Inactive,In-Domain
